Name,D1_MarketMechanism,D2_OracleType,D3_OutcomeStructure,D4_MarketCreation,D5_BlockchainPlatform,D6_GovernanceModel,D7_CollateralModel,Status,InTable4,ReasonIfOmitted
Helena,LMSR,Schelling,Binary,Curated,Ethereum L1,Operator,Stablecoin,Defunct,No,defunct
RealityCards,—,Bond-escl.,Bin/Cat,Curated,Ethereum L1,Operator,Stablecoin,Defunct,No,defunct
Probable,AMM,Optimistic,Binary,Curated,BNB Chain,Operator,Stablecoin,Defunct,No,defunct
ZKasino,Hybrid,Centralized,Binary,Curated,zkSync,Operator,Multi-asset,Defunct,No,casino/lottery hybrid
Bitcoin Hivemind,LMSR,Schelling,Bin/Cat/Scl,Open,Bitcoin,DAO,Native,Pre-launch,No,pre-launch/insufficient public info
Kleros,—,Arbitration,—,—,Ethereum L1,DAO,Native,Active,No,redundant/long-tail
Ideamarket,—,Endogenous,Distributional,Open,Arbitrum,Operator,Stablecoin,Dormant,No,dormant/redundant
BullBear AI,—,AI,Binary,Curated,Arbitrum,DAO,Native,Active,No,redundant/long-tail
Punk.Coffee,—,—,Bin/Cat,Open,Ethereum L1,DAO,—,Active,No,redundant/long-tail
eesee,—,Centralized,Binary,Curated,Blast,DAO,Native,Active,No,casino/lottery hybrid
ProphetX,—,Centralized,Binary,Curated,Centralized,Operator,Fiat,Pre-launch,No,pre-launch/insufficient public info
Purebet,—,Centralized,Bin/Cat,Hybrid,Solana,Operator,Stablecoin,Active,No,redundant/long-tail
LiveStakes,—,—,—,—,—,—,—,Unknown,No,insufficient public info
Kleros Foresight,CPMM,Bond-escl.,Bin/Cat,Curated,Gnosis Ch.,DAO,Stablecoin,Active,No,redundant/long-tail
Precog (PM),AMM,—,Bin/Cat,Open,Ethereum L1,Operator,Multi-asset,Active,No,redundant/long-tail
ZanoX,AMM,Centralized,Bin/Cat,Curated,Ethereum L1,Operator,Stablecoin,Active,No,redundant/long-tail
FanDuel Predicts,—,Centralized,Binary,Curated,Centralized,Operator,Fiat,Active,No,redundant/long-tail
Monaco Protocol,CLOB,Centralized,Binary,Curated,Solana,Operator,Stablecoin,Active,No,redundant/long-tail
